Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
756037,"9,195,486,645","1,310,205,016",1100,"9,195,486,645","1,310,205,016"
756042,"9,198,489,563","1,315,455,016",1100,"9,198,489,563","1,315,455,016"
756047,"9,198,489,563","1,313,705,016",1100,"9,198,489,563","1,313,705,016"
756052,"9,198,489,563","1,311,955,016",1100,"9,198,489,563","1,311,955,016"
756057,"9,198,489,563","1,310,205,016",1100,"9,198,489,563","1,310,205,016"
756711,"7,379,502,322","1,289,082,134",1100,"7,379,502,322","1,289,082,134"
756716,"7,216,990,533","1,292,078,818",1100,"7,216,990,533","1,292,078,818"
756721,"7,216,990,533","1,290,578,818",1100,"7,216,990,533","1,290,578,818"
756726,"7,216,990,533","1,289,078,818",1100,"7,216,990,533","1,289,078,818"
756731,"7,480,309,818","1,313,943,525",1100,"7,480,309,818","1,313,943,525"
756736,"7,480,309,818","1,312,443,525",1100,"7,480,309,818","1,312,443,525"
756741,"7,372,584,706","1,289,082,134",1100,"7,372,584,706","1,289,082,134"
756746,"7,210,072,916","1,292,078,818",1100,"7,210,072,916","1,292,078,818"
756751,"7,210,072,916","1,290,578,818",1100,"7,210,072,916","1,290,578,818"
756756,"7,210,072,916","1,289,078,818",1100,"7,210,072,916","1,289,078,818"
756761,"7,473,392,202","1,313,943,525",1100,"7,473,392,202","1,313,943,525"
756766,"7,473,392,202","1,312,443,525",1100,"7,473,392,202","1,312,443,525"
756771,"8,006,224,615","1289041,98",1100,"8,006,224,615","1289041,98"
756776,"8,006,224,615","1293541,98",1100,"8,006,224,615","1293541,98"
756781,"8,006,224,615","1292041,98",1100,"8,006,224,615","1292041,98"
756786,"8,006,224,615","1290541,98",1100,"8,006,224,615","1290541,98"
756791,"8,678,886,112","1,318,565,525",1100,"8,678,886,112","1,318,565,525"
756796,"8,678,886,112","1,317,065,525",1100,"8,678,886,112","1,317,065,525"
756801,"7,999,306,999","1289041,98",1100,"7,999,306,999","1289041,98"
756806,"7,999,306,999","1293541,98",1100,"7,999,306,999","1293541,98"
756811,"7,999,306,999","1292041,98",1100,"7,999,306,999","1292041,98"
756816,"7,999,306,999","1290541,98",1100,"7,999,306,999","1290541,98"
756821,"8,671,968,496","1,318,565,525",1100,"8,671,968,496","1,318,565,525"
756826,"8,671,968,496","1,317,065,525",1100,"8,671,968,496","1,317,065,525"
756981,"7,829,514,335","1,311,527,575",1100,"7,829,514,335","1,311,527,575"
756986,"7,829,514,335","1,313,027,575",1100,"7,829,514,335","1,313,027,575"
756991,"7,829,514,335","1,314,527,575",1100,"7,829,514,335","1,314,527,575"
756996,"7,329,146,628","1,287,573,421",1100,"7,329,146,628","1,287,573,421"
757001,"7,331,262,879","1,316,943,525",1100,"7,331,262,879","1,316,943,525"
757006,"7,331,262,879","1,315,443,525",1100,"7,331,262,879","1,315,443,525"
757011,"7,836,431,951","1,311,527,575",1100,"7,836,431,951","1,311,527,575"
757016,"7,836,431,951","1,313,027,575",1100,"7,836,431,951","1,313,027,575"
757021,"7,836,431,951","1,314,527,575",1100,"7,836,431,951","1,314,527,575"
757026,"7,322,229,011","1,287,573,421",1100,"7,322,229,011","1,287,573,421"
757031,"7,324,345,263","1,316,943,525",1100,"7,324,345,263","1,316,943,525"
757036,"7,324,345,263","1,315,443,525",1100,"7,324,345,263","1,315,443,525"
757041,"7,879,123,475","1,310,025,621",1100,"7,879,123,475","1,310,025,621"
757046,"7,879,123,475","1,311,525,621",1100,"7,879,123,475","1,311,525,621"
